X,baseMean,log2FoldChange,lfcSE,pvalue,padj,deg
AT1G01010,857.973036074928,1.45228845066526,0.164541011228245,3.89353456813644e-19,1.96686757775945e-18,up
AT1G01020,362.306712794913,-0.43554176422636,0.105434979361629,3.19253257259949e-05,6.32418630445624e-05,NS
AT1G01030,50.977154730178,1.7348231355354,0.25840175616135,5.85624948167939e-12,1.96996826870673e-11,up
AT1G01040,1682.91122343262,-0.069274083025266,0.0978989027229367,0.479771305219486,0.534404145708443,NS
AT1G01046,14.7227619966095,-0.478430650465158,0.512334605485505,0.280110015790575,0.330644161565707,NS
AT1G01050,1549.40184322374,0.730629559230567,0.0796101426502946,3.29233038662264e-20,1.74944459986379e-19,up
AT1G01060,2549.14616235472,-1.99012514889175,0.509754131951931,1.75533528816621e-05,3.56284787307298e-05,down
AT1G01070,155.690083457949,4.68753125697233,0.397851144922094,2.94777611385166e-32,2.6032354810441e-31,up
AT1G01080,337.98618797146,0.0484060782646141,0.135968800024867,0.71367901496436,0.755305409154739,NS
AT1G01090,3484.79429553082,0.17211728140959,0.0829979233300983,0.0388320908855389,0.0534547886780209,NS
AT1G01100,6854.38756398974,-0.436149598840336,0.0522284761887663,6.3602510349799e-17,2.87325520271485e-16,NS
AT1G01110,531.155712423456,-1.51573797259131,0.109650522931731,6.54840186415495e-44,8.69905578547954e-43,down
AT1G01120,3235.11254502443,-0.121289158133532,0.140734226666247,0.382212396978265,0.436831558501633,NS
AT1G01130,161.494865605478,1.46164696113004,0.1558049077942,2.43844763637146e-21,1.36487062670138e-20,up
AT1G01140,456.905097658801,0.727146896053842,0.233061946578107,0.0012698874049231,0.00212219137149355,up
AT1G01150,6.91541524234518,0.0898837315947728,0.58211181991207,0.855180583784743,0.881067131185794,NS
AT1G01160,1489.50030492313,-0.900634578078985,0.0705437113745042,7.3818510887615e-38,7.91986265367417e-37,down
AT1G04007,29.282424804971,-0.643310729053961,0.29557158158246,0.022930178805559,0.0326156125398473,down
AT1G01170,202.745522693989,2.46882553279374,0.223358719034823,3.61943711759279e-29,2.87547815079798e-28,up
AT1G01180,194.445488914884,2.37329763973631,0.248309895333435,2.87140525265022e-22,1.6859987070142e-21,up
AT1G08765,36.3054793391909,1.92758326232532,0.318624993216744,3.75972505717256e-10,1.12136907780875e-09,up
AT1G01190,53.7120081220302,0.909975864029752,0.498607327660377,0.0371968580907159,0.0513327414525218,NS
AT1G01200,134.519777856479,1.30957883500083,0.219577775645118,1.01978001011628e-09,2.93880594816445e-09,up
AT1G01210,265.484597351439,-0.103555211718317,0.152325039309827,0.487942234342529,0.542463270164024,NS
AT1G01220,636.993229360477,0.793863902621205,0.0798213522192272,1.87086046224476e-23,1.16763640295965e-22,up
AT1G01225,228.448457560118,-0.0354658930406887,0.180909357719205,0.839147499408997,0.86752542399518,NS
AT1G01230,495.609353967471,0.560812408846696,0.0894741536280056,3.01944234150268e-10,9.06991320863332e-10,NS
AT1G01240,573.969290798035,-0.207304668664556,0.146217826654968,0.149949890491528,0.186662406274637,NS
AT1G01260,708.314027037477,-0.163991378824569,0.0866809448143138,0.0559466728993269,0.0750440684952174,NS
AT1G01290,452.980342932503,-0.513883477669364,0.0930868192321712,2.8607470534087e-08,7.39791348084774e-08,NS
AT1G01300,6297.66625139535,-0.297460963190829,0.101905144187503,0.00321207083125506,0.00512561011577459,NS
AT1G01320,2666.04112906306,0.115126532110042,0.0838562604344183,0.168646888151129,0.208093399087176,NS
AT1G01340,158.980952033471,0.680567910252592,0.255211104462909,0.00575983815001273,0.00890526150879093,up
AT1G01350,801.898306497401,-0.246419657877856,0.0729488913842022,0.000718392841794987,0.00123715058919738,NS
AT1G01355,5.56196053192215,0.299333140734339,1.02257579360612,0.606333054175519,0.655562285526227,NS
AT1G01360,305.644368587498,-0.80961895721398,0.150453144044284,5.38757664170352e-08,1.36385277826549e-07,down
AT1G01370,284.881014111744,-1.24321113165446,0.123560634275682,3.6179729002148e-24,2.32694683098029e-23,down
AT1G01380,10.5296200681093,7.29990948164957,2.30508438673585,3.39061567061876e-08,8.72594867726812e-08,up
AT1G01420,27.571521857936,7.96392972206062,2.34552744567978,9.93397368444217e-10,2.86541346478863e-09,up
AT1G01430,671.850748189423,1.32371112722799,0.106455341867678,6.88489498493433e-36,6.96079396562618e-35,up
AT1G01440,654.156231472802,-0.21468872386864,0.0865753893252666,0.0127782297598858,0.0188724491683133,NS
AT1G01448,282.662195179408,-0.539033177256717,0.122130862736901,8.43821491104041e-06,1.76469070351202e-05,NS
AT1G01453,57.5150650965534,11.3884174814389,2.64988892991544,1.83265941154376e-17,8.50700161830317e-17,up
AT1G01470,2741.21734474057,1.79565407658237,0.202577917763828,1.92003247567268e-19,9.84679266127036e-19,up
AT1G01480,216.281734576521,0.886818005826299,0.216632714401985,2.71548649392374e-05,5.41590067882752e-05,up
AT1G01490,1657.89701642206,0.822373046275916,0.0905850385975961,6.65413160798578e-20,3.4959710142723e-19,up
AT1G01500,254.572064358949,-0.477906082768675,0.139018327865924,0.000527817169396791,0.000923911877975425,NS
AT1G01510,2086.14422286522,-0.497093928764461,0.0553666303575599,1.69934594199994e-19,8.73955037604335e-19,NS
AT1G01520,21.372337003557,0.0521851161623579,0.460085432774032,0.897629002067533,0.917469344663943,NS
AT1G01540,1592.33257536084,0.0249387445565071,0.0881807127550066,0.776202938038811,0.810982039128304,NS
AT1G01550,4767.09512717542,0.398083101489596,0.07618871047013,1.84072681401718e-07,4.45182511711824e-07,NS
AT1G01560,80.9322788847592,-1.19688926598397,0.345505666299478,0.000240691908345524,0.000437746924910847,down
AT1G01570,56.7165533980596,-0.893299130566607,0.243243603574388,0.000149466772214371,0.000277030456635108,down
AT1G01580,14.4182439075136,-0.263091501480576,0.501277484704078,0.544458043296391,0.59693756757771,NS
AT1G01600,247.585128968749,-0.879731535464038,0.35447811211132,0.00783487505002524,0.0119121356417464,down
AT1G01610,1663.44897959669,-1.67131806433148,0.114783708764284,1.4144956523278e-48,2.17421670430386e-47,down
AT1G01620,15388.7700091808,0.97946154891595,0.0656644479075466,1.57213883742961e-50,2.56970254866664e-49,up
AT1G01630,1050.73125941889,-0.127773839003076,0.106105633950013,0.227403314592768,0.273270463407834,NS
AT1G01640,375.711320952909,0.251278373880669,0.147918912173596,0.0836559370655235,0.109204270427726,NS
AT1G01650,1008.84341000042,0.2616748674397,0.0918672939724107,0.00427108128942645,0.0067181794605625,NS
AT1G04027,11.3849648958361,0.380084849003905,0.720973571206806,0.467912804835373,0.522821061792656,NS
AT1G01660,82.9330109420304,0.815654372319232,0.201075123547083,3.39424533686535e-05,6.707398443811e-05,up
AT1G01670,67.2015674704528,-0.666718242741461,0.19839332095519,0.000624507938251234,0.00108287235966528,down
AT1G01680,257.083588877755,-3.00952170659464,0.381038993770647,2.99401324139967e-16,1.30106614270895e-15,down
AT1G01690,457.99792045059,-0.851278160793959,0.0815792347069733,1.09301034406986e-25,7.48444040351994e-25,down
AT1G01695,18.9643928553289,-0.0666253924896742,0.372058492891345,0.845597278532105,0.873246018758313,NS
AT1G04037,6.18056740260195,0.970508888120457,0.716519092683769,0.0806191970952246,0.105504339431024,NS
AT1G01700,100.808352152395,0.708394524649523,0.168864483301488,2.09662278522121e-05,4.22310924731334e-05,up
